file,n_boxes,n_face,top_conf
2026-08-16_01-07-33_f0000auto.jpg,2,1,0.882
2026-08-16_01-07-33_f0060auto.jpg,3,1,0.879
2026-08-21_16-50-18_f0000auto.jpg,2,1,0.873
2026-08-21_16-50-18_f0060auto.jpg,2,1,0.865
2026-07-30_05-57-27_f0000auto.jpg,1,1,0.85
2026-07-30_05-57-27_f0007auto.jpg,1,1,0.847
2026-08-21_02-52-34_f0000auto.jpg,2,1,0.902
2026-08-21_02-52-34_f0060auto.jpg,2,1,0.882
2026-08-30_21-21-41_f0000auto.jpg,2,1,0.822
2026-08-30_21-21-41_f0060auto.jpg,2,1,0.859
2026-08-19_15-46-52_f0000auto.jpg,2,1,0.882
2026-08-19_15-46-52_f0060auto.jpg,2,1,0.887
2026-08-13_21-31-36_f0000auto.jpg,1,0,0.75
2026-08-13_21-31-36_f0060auto.jpg,2,1,0.874
2026-08-14_10-50-13_f0000auto.jpg,2,1,0.872
2026-08-14_10-50-13_f0060auto.jpg,2,1,0.834
2026-08-30_06-23-24_f0000auto.jpg,2,1,0.846
2026-08-30_06-23-24_f0060auto.jpg,2,1,0.846
2026-08-03_08-58-20_f0000auto.jpg,2,1,0.878
2026-08-03_08-58-20_f0060auto.jpg,1,1,0.846
2026-08-22_05-51-55_f0000auto.jpg,3,1,0.882
2026-08-22_05-51-55_f0060auto.jpg,3,1,0.918
2026-08-18_23-01-02_f0000auto.jpg,2,1,0.872
2026-08-18_23-01-02_f0060auto.jpg,2,1,0.864
2026-07-31_14-33-30_f0000auto.jpg,2,1,0.845
2026-07-31_14-33-30_f0060auto.jpg,3,1,0.853
2026-08-03_09-30-43_f0000auto.jpg,3,1,0.857
2026-08-03_09-30-43_f0060auto.jpg,2,1,0.844
2026-07-31_22-04-19_f0000auto.jpg,2,1,0.852
2026-07-31_22-04-19_f0060auto.jpg,2,1,0.861
2026-09-01_09-43-04_f0000auto.jpg,2,1,0.846
2026-09-01_09-43-04_f0060auto.jpg,2,1,0.883
2026-08-19_12-45-41_f0000auto.jpg,2,1,0.843
2026-08-19_12-45-41_f0060auto.jpg,2,1,0.84
2026-08-05_19-42-23_f0000auto.jpg,2,1,0.908
2026-08-05_19-42-23_f0060auto.jpg,2,1,0.849
2026-08-22_01-12-10_f0000auto.jpg,2,1,0.858
2026-08-22_01-12-10_f0060auto.jpg,2,1,0.862
2026-08-13_01-46-28_f0000auto.jpg,2,1,0.889
2026-08-13_01-46-28_f0060auto.jpg,2,1,0.865
2026-08-27_03-45-07_f0000auto.jpg,2,1,0.876
2026-08-27_03-45-07_f0060auto.jpg,2,1,0.875
2026-07-29_06-26-28_f0000auto.jpg,2,1,0.839
2026-07-29_06-26-28_f0026auto.jpg,2,1,0.838
2026-08-21_16-42-32_f0000auto.jpg,2,1,0.869
2026-08-21_16-42-32_f0060auto.jpg,2,1,0.873
2026-07-28_04-15-20_f0000auto.jpg,2,1,0.835
2026-07-28_04-15-20_f0060auto.jpg,2,1,0.836
2026-08-06_04-08-53_f0000auto.jpg,2,1,0.921
2026-08-06_04-08-53_f0060auto.jpg,2,1,0.908
2026-07-31_08-30-16_f0000auto.jpg,2,1,0.855
2026-07-31_08-30-16_f0060auto.jpg,2,1,0.837
2026-08-13_17-12-20_f0000auto.jpg,2,1,0.861
2026-08-13_17-12-20_f0060auto.jpg,2,1,0.905
2026-08-06_06-07-28_f0000auto.jpg,3,1,0.865
2026-08-06_06-07-28_f0060auto.jpg,3,1,0.865
2026-08-13_09-12-47_f0000auto.jpg,2,1,0.877
2026-08-13_09-12-47_f0060auto.jpg,2,1,0.877
2026-08-25_11-09-33_f0000auto.jpg,2,1,0.867
2026-08-25_11-09-33_f0060auto.jpg,2,1,0.85
2026-08-08_15-05-09_f0000auto.jpg,2,1,0.893
2026-08-08_15-05-09_f0060auto.jpg,2,1,0.869
2026-07-29_20-25-57_f0000auto.jpg,2,1,0.864
2026-07-29_20-25-57_f0060auto.jpg,2,1,0.858
2026-08-10_22-49-23_f0000auto.jpg,2,1,0.847
2026-08-10_22-49-23_f0060auto.jpg,2,1,0.881
2026-08-17_20-38-27_f0000auto.jpg,3,1,0.909
2026-08-17_20-38-27_f0060auto.jpg,2,1,0.847
2026-08-20_14-49-10_f0000auto.jpg,2,1,0.844
2026-08-20_14-49-10_f0060auto.jpg,2,1,0.859
2026-09-01_02-19-08_f0000auto.jpg,3,1,0.847
2026-09-01_02-19-08_f0060auto.jpg,2,1,0.846
2026-08-11_04-59-59_f0000auto.jpg,3,1,0.868
2026-08-11_04-59-59_f0060auto.jpg,2,1,0.867
2026-08-15_17-51-33_f0000auto.jpg,2,1,0.865
2026-08-15_17-51-33_f0060auto.jpg,2,1,0.881
2026-07-31_10-56-38_f0000auto.jpg,2,1,0.845
2026-07-31_10-56-38_f0060auto.jpg,2,1,0.838
2026-07-27_05-38-39_f0000auto.jpg,2,1,0.869
2026-07-27_05-38-39_f0060auto.jpg,3,1,0.859
2026-07-29_15-05-40_f0000auto.jpg,3,1,0.861
2026-07-29_15-05-40_f0060auto.jpg,3,1,0.863
2026-07-27_19-18-37_f0000auto.jpg,2,1,0.851
2026-07-27_19-18-37_f0060auto.jpg,2,1,0.865
2026-08-22_21-04-07_f0000auto.jpg,3,1,0.711
2026-08-22_21-04-07_f0060auto.jpg,3,2,0.775
2026-08-03_22-31-04_f0000auto.jpg,2,1,0.862
2026-08-03_22-31-04_f0060auto.jpg,2,1,0.84
2026-08-28_14-08-35_f0000auto.jpg,2,1,0.854
2026-08-28_14-08-35_f0060auto.jpg,4,2,0.867
2026-08-01_03-26-04_f0000auto.jpg,1,1,0.881
2026-08-01_03-26-04_f0060auto.jpg,1,1,0.884
2026-08-06_06-29-52_f0000auto.jpg,1,0,0.901
2026-08-06_06-29-52_f0060auto.jpg,2,1,0.823
2026-08-25_03-03-08_f0000auto.jpg,2,1,0.876
2026-08-25_03-03-08_f0012auto.jpg,2,1,0.877
2026-08-09_11-17-38_f0000auto.jpg,3,1,0.91
2026-08-09_11-17-38_f0060auto.jpg,3,1,0.907
2026-08-03_10-03-37_f0000auto.jpg,2,1,0.855
2026-08-03_10-03-37_f0060auto.jpg,3,1,0.836
2026-08-16_18-43-07_f0000auto.jpg,2,1,0.881
2026-08-16_18-43-07_f0060auto.jpg,2,1,0.866
2026-08-05_08-56-28_f0000auto.jpg,2,1,0.886
2026-08-05_08-56-28_f0060auto.jpg,3,1,0.917
2026-08-20_14-45-10_f0000auto.jpg,2,1,0.856
2026-08-20_14-45-10_f0060auto.jpg,2,1,0.841
2026-09-02_04-27-03_f0000auto.jpg,2,1,0.85
2026-09-02_04-27-03_f0060auto.jpg,2,1,0.873
2026-08-23_23-16-45_f0000auto.jpg,3,1,0.847
2026-08-23_23-16-45_f0060auto.jpg,2,1,0.853
2026-08-12_11-16-48_f0000auto.jpg,2,1,0.875
2026-08-12_11-16-48_f0060auto.jpg,2,1,0.887
2026-08-17_06-44-35_f0000auto.jpg,2,1,0.941
2026-08-17_06-44-35_f0060auto.jpg,2,1,0.943
2026-08-24_07-52-08_f0000auto.jpg,2,1,0.853
2026-08-24_07-52-08_f0060auto.jpg,2,1,0.862
2026-08-03_08-55-38_f0000auto.jpg,3,1,0.853
2026-08-03_08-55-38_f0060auto.jpg,3,1,0.841
2026-08-25_03-31-32_f0000auto.jpg,2,1,0.879
2026-08-25_03-31-32_f0060auto.jpg,2,1,0.907
2026-08-04_09-13-27_f0000auto.jpg,3,1,0.828
2026-08-04_09-13-27_f0060auto.jpg,3,1,0.854
2026-08-04_22-07-55_f0000auto.jpg,2,1,0.856
2026-08-04_22-07-55_f0060auto.jpg,2,1,0.849
2026-08-01_04-42-51_f0000auto.jpg,2,1,0.871
2026-08-01_04-42-51_f0060auto.jpg,3,1,0.89
2026-09-01_12-14-20_f0000auto.jpg,2,1,0.836
2026-09-01_12-14-20_f0060auto.jpg,1,1,0.748
2026-08-02_02-28-51_f0000auto.jpg,1,0,0.826
2026-08-02_19-42-59_f0000auto.jpg,2,1,0.882
2026-08-02_19-42-59_f0060auto.jpg,2,1,0.887
2026-07-30_10-49-16_f0000auto.jpg,2,1,0.864
2026-07-30_10-49-16_f0060auto.jpg,2,1,0.846
2026-08-04_13-46-48_f0000auto.jpg,4,1,0.854
2026-08-04_13-46-48_f0060auto.jpg,3,1,0.89
2026-08-23_23-51-26_f0000auto.jpg,2,1,0.873
2026-08-23_23-51-26_f0060auto.jpg,3,1,0.865
2026-08-21_20-21-34_f0000auto.jpg,2,1,0.86
2026-08-21_20-21-34_f0060auto.jpg,3,1,0.843
2026-08-04_14-35-48_f0000auto.jpg,2,1,0.861
2026-08-04_14-35-48_f0060auto.jpg,2,1,0.86
2026-08-16_19-13-13_f0000auto.jpg,3,1,0.882
2026-08-16_19-13-13_f0060auto.jpg,3,1,0.879
2026-08-09_02-01-14_f0000auto.jpg,2,1,0.88
2026-08-09_02-01-14_f0060auto.jpg,2,1,0.889
2026-09-01_00-23-10_f0000auto.jpg,2,1,0.862
2026-08-06_04-23-53_f0000auto.jpg,2,1,0.846
2026-08-06_04-23-53_f0060auto.jpg,2,1,0.883
2026-07-30_10-00-28_f0000auto.jpg,2,1,0.854
2026-07-30_10-00-28_f0060auto.jpg,2,1,0.854
2026-08-30_07-57-23_f0000auto.jpg,2,1,0.889
2026-08-30_07-57-23_f0060auto.jpg,2,1,0.842
2026-08-02_13-29-08_f0000auto.jpg,2,1,0.853
2026-08-02_13-29-08_f0060auto.jpg,3,1,0.855
2026-08-29_07-54-45_f0000auto.jpg,2,1,0.882
2026-08-29_07-54-45_f0060auto.jpg,3,1,0.88
2026-08-17_19-21-21_f0000auto.jpg,2,1,0.869
2026-08-17_19-21-21_f0060auto.jpg,2,1,0.867
2026-09-01_09-41-04_f0000auto.jpg,2,1,0.888
2026-09-01_09-41-04_f0060auto.jpg,2,1,0.889
2026-08-14_09-44-08_f0000auto.jpg,3,1,0.854
2026-08-14_09-44-08_f0060auto.jpg,1,1,0.829
2026-08-29_21-59-39_f0000auto.jpg,5,3,0.842
2026-08-29_21-59-39_f0060auto.jpg,3,1,0.847
2026-08-28_06-16-16_f0000auto.jpg,1,0,0.783
2026-08-25_05-35-01_f0000auto.jpg,2,1,0.869
2026-08-25_05-35-01_f0060auto.jpg,4,1,0.873
2026-08-14_18-40-26_f0000auto.jpg,3,1,0.862
2026-08-14_18-40-26_f0060auto.jpg,3,1,0.843
