time,ydif,mean,max,state
1788555623.40,0.881,0.881,0.881,MOTION
1788555623.50,0.317,0.599,0.881,MOTION
1788555623.54,0.204,0.468,0.881,MOTION
1788555623.55,0.120,0.381,0.881,MOTION
1788555623.57,0.080,0.321,0.881,MOTION
1788555623.58,0.091,0.282,0.881,MOTION
1788555623.59,0.018,0.245,0.881,MOTION
1788555623.61,0.064,0.222,0.881,MOTION
1788555623.62,0.086,0.207,0.881,MOTION
1788555623.64,0.029,0.189,0.881,MOTION
1788555623.65,0.015,0.173,0.881,MOTION
1788555623.67,0.010,0.160,0.881,MOTION
1788555623.68,0.066,0.153,0.881,MOTION
1788555623.69,0.162,0.153,0.881,MOTION
1788555623.70,0.007,0.143,0.881,MOTION
1788555623.72,0.031,0.136,0.881,MOTION
1788555623.73,0.004,0.129,0.881,MOTION
1788555623.74,0.013,0.122,0.881,MOTION
1788555623.75,0.025,0.117,0.881,STATIC
1788555623.77,0.006,0.112,0.881,STATIC
1788555623.78,0.003,0.106,0.881,STATIC
1788555623.79,0.005,0.102,0.881,STATIC
1788555623.80,0.008,0.098,0.881,STATIC
1788555623.81,0.092,0.097,0.881,STATIC
1788555623.83,0.004,0.094,0.881,STATIC
1788555623.84,0.021,0.091,0.881,STATIC
1788555623.85,0.003,0.088,0.881,STATIC
1788555623.86,0.003,0.085,0.881,STATIC
1788555623.88,0.005,0.082,0.881,STATIC
1788555623.89,0.001,0.079,0.881,STATIC
1788555623.90,0.003,0.077,0.881,STATIC
1788555623.92,0.007,0.075,0.881,STATIC
1788555623.94,0.001,0.072,0.881,STATIC
1788555623.95,0.006,0.070,0.881,STATIC
1788555623.97,0.000,0.068,0.881,STATIC
1788555623.99,0.041,0.068,0.881,STATIC
1788555624.01,0.005,0.066,0.881,STATIC
1788555624.02,0.002,0.064,0.881,STATIC
1788555624.04,0.000,0.063,0.881,STATIC
1788555624.06,0.000,0.061,0.881,STATIC
1788555624.08,0.001,0.060,0.881,STATIC
1788555624.09,0.000,0.058,0.881,STATIC
1788555624.11,0.000,0.057,0.881,STATIC
1788555624.12,0.000,0.056,0.881,STATIC
1788555624.13,0.000,0.054,0.881,STATIC
1788555624.15,0.027,0.054,0.881,STATIC
1788555624.16,0.000,0.053,0.881,STATIC
1788555624.18,0.000,0.051,0.881,STATIC
1788555624.19,0.000,0.050,0.881,STATIC
1788555624.20,0.000,0.049,0.881,STATIC
1788555624.22,0.000,0.048,0.881,STATIC
1788555624.23,0.001,0.048,0.881,STATIC
1788555624.25,0.001,0.047,0.881,STATIC
1788555624.26,0.002,0.046,0.881,STATIC
1788555624.28,0.000,0.045,0.881,STATIC
1788555624.29,0.025,0.045,0.881,STATIC
1788555624.30,0.001,0.044,0.881,STATIC
1788555624.31,0.001,0.043,0.881,STATIC
1788555624.33,2.314,0.082,2.314,MOTION
1788555624.38,0.364,0.086,2.314,MOTION
1788555624.48,0.234,0.089,2.314,MOTION
1788555624.57,0.001,0.087,2.314,MOTION
1788555624.72,0.001,0.086,2.314,MOTION
1788555625.94,0.003,0.085,2.314,MOTION
1788555625.95,0.003,0.083,2.314,MOTION
1788555625.96,0.017,0.082,2.314,MOTION
1788555625.97,0.003,0.081,2.314,MOTION
1788555625.98,0.002,0.080,2.314,MOTION
1788555625.99,0.002,0.079,2.314,MOTION
1788555626.01,0.003,0.078,2.314,MOTION
1788555626.02,0.001,0.077,2.314,MOTION
1788555626.03,0.001,0.076,2.314,MOTION
1788555626.04,0.001,0.075,2.314,MOTION
1788555626.05,0.004,0.074,2.314,MOTION
1788555626.07,0.001,0.073,2.314,MOTION
1788555626.08,0.030,0.072,2.314,MOTION
1788555626.09,0.002,0.071,2.314,MOTION
1788555626.22,0.002,0.070,2.314,MOTION
1788555626.28,0.000,0.070,2.314,MOTION
1788555627.00,0.000,0.069,2.314,MOTION
1788555627.00,0.000,0.068,2.314,MOTION
1788555627.01,0.000,0.067,2.314,MOTION
1788555627.02,0.001,0.066,2.314,MOTION
1788555627.03,0.000,0.065,2.314,MOTION
1788555627.04,0.001,0.065,2.314,MOTION
1788555627.05,0.032,0.064,2.314,MOTION
1788555627.10,0.000,0.064,2.314,MOTION
1788555627.20,0.000,0.063,2.314,MOTION
1788555627.30,0.000,0.062,2.314,MOTION
1788555627.40,0.159,0.063,2.314,MOTION
1788555627.50,0.001,0.063,2.314,MOTION
1788555627.58,0.000,0.062,2.314,MOTION
1788555627.71,0.001,0.061,2.314,MOTION
1788555627.80,0.000,0.061,2.314,MOTION
1788555627.88,0.013,0.060,2.314,MOTION
1788555628.00,0.003,0.059,2.314,MOTION
1788555628.08,0.003,0.059,2.314,MOTION
1788555628.18,0.000,0.058,2.314,MOTION
1788555628.32,0.000,0.058,2.314,MOTION
1788555628.38,0.000,0.057,2.314,MOTION
1788555628.51,0.001,0.057,2.314,MOTION
1788555628.58,0.068,0.057,2.314,MOTION
1788555628.68,0.003,0.056,2.314,MOTION
1788555628.80,0.009,0.056,2.314,MOTION
1788555628.89,0.000,0.055,2.314,MOTION
1788555628.99,0.035,0.055,2.314,MOTION
1788555629.10,0.000,0.054,2.314,MOTION
1788555629.21,0.000,0.054,2.314,MOTION
1788555629.31,0.000,0.053,2.314,MOTION
1788555629.38,0.000,0.053,2.314,MOTION
1788555629.50,0.000,0.052,2.314,MOTION
1788555629.58,0.000,0.052,2.314,MOTION
1788555629.69,0.002,0.052,2.314,MOTION
1788555629.77,0.305,0.054,2.314,MOTION
1788555629.90,1.467,0.066,2.314,MOTION
1788555629.97,0.090,0.066,2.314,MOTION
1788555630.09,0.050,0.066,2.314,MOTION
1788555630.20,1.299,0.077,2.314,MOTION
1788555630.31,1.898,0.092,2.314,MOTION
1788555630.39,0.012,0.091,2.314,MOTION
1788555630.49,0.036,0.091,2.314,MOTION
1788555630.60,0.029,0.090,2.314,MOTION
1788555630.68,0.030,0.090,2.314,MOTION
1788555630.79,0.019,0.089,2.314,MOTION
1788555630.89,0.036,0.089,2.314,MOTION
1788555630.99,0.033,0.088,2.314,MOTION
1788555631.08,0.019,0.088,2.314,MOTION
1788555631.19,0.017,0.087,2.314,MOTION
1788555631.30,0.017,0.087,2.314,MOTION
1788555631.38,0.009,0.086,2.314,MOTION
1788555631.50,0.011,0.086,2.314,MOTION
1788555631.59,0.015,0.085,2.314,MOTION
1788555631.67,0.009,0.084,2.314,MOTION
1788555631.79,0.006,0.084,2.314,MOTION
1788555631.90,0.003,0.083,2.314,MOTION
1788555631.98,0.039,0.083,2.314,MOTION
1788555632.11,0.008,0.082,2.314,MOTION
1788555632.17,0.009,0.082,2.314,MOTION
1788555632.28,0.002,0.081,2.314,MOTION
1788555632.38,0.003,0.081,2.314,MOTION
1788555632.50,0.004,0.080,2.314,MOTION
1788555632.58,0.001,0.080,2.314,MOTION
1788555632.70,0.002,0.079,2.314,MOTION
1788555632.79,0.002,0.079,2.314,MOTION
1788555632.90,0.027,0.078,2.314,MOTION
1788555632.98,0.002,0.078,2.314,MOTION
1788555633.08,0.002,0.077,2.314,MOTION
1788555633.20,0.002,0.077,2.314,MOTION
1788555633.30,0.004,0.076,2.314,MOTION
1788555633.37,0.002,0.076,2.314,MOTION
1788555633.49,0.000,0.075,2.314,MOTION
1788555633.59,0.003,0.075,2.314,MOTION
1788555633.69,0.001,0.074,2.314,MOTION
1788555633.80,0.003,0.074,2.314,MOTION
1788555633.88,0.002,0.073,2.314,MOTION
1788555634.01,0.025,0.073,2.314,MOTION
1788555634.10,0.040,0.073,2.314,MOTION
1788555634.18,0.003,0.072,2.314,MOTION
1788555634.31,0.002,0.072,2.314,MOTION
1788555634.40,0.002,0.071,2.314,MOTION
1788555634.48,0.001,0.071,2.314,MOTION
1788555634.60,0.000,0.071,2.314,MOTION
1788555634.68,0.003,0.070,2.314,MOTION
1788555634.80,0.002,0.070,2.314,MOTION
1788555634.90,0.016,0.069,2.314,MOTION
1788555634.98,0.002,0.069,2.314,MOTION
1788555635.10,0.001,0.069,2.314,MOTION
1788555635.21,0.001,0.068,2.314,MOTION
1788555635.29,0.001,0.068,2.314,MOTION
1788555635.39,0.001,0.067,2.314,MOTION
1788555635.50,0.000,0.067,2.314,MOTION
1788555635.59,0.001,0.067,2.314,MOTION
1788555635.67,0.000,0.066,2.314,MOTION
1788555635.78,0.001,0.066,2.314,MOTION
1788555635.91,0.000,0.065,2.314,MOTION
1788555635.98,0.029,0.065,2.314,MOTION
1788555636.09,0.001,0.065,2.314,MOTION
1788555636.21,0.001,0.065,2.314,MOTION
1788555636.29,1.816,0.074,2.314,MOTION
1788555636.39,1.003,0.079,2.314,MOTION
1788555636.49,0.193,0.080,2.314,MOTION
1788555636.59,0.257,0.081,2.314,MOTION
1788555636.67,0.241,0.082,2.314,MOTION
1788555636.80,0.007,0.082,2.314,MOTION
1788555636.90,0.007,0.081,2.314,MOTION
1788555636.99,0.064,0.081,2.314,MOTION
1788555637.12,0.011,0.081,2.314,MOTION
1788555637.19,0.012,0.080,2.314,MOTION
1788555637.30,0.033,0.080,2.314,MOTION
1788555637.37,0.003,0.080,2.314,MOTION
1788555637.50,0.001,0.079,2.314,MOTION
1788555637.58,0.001,0.079,2.314,MOTION
1788555637.71,0.002,0.078,2.314,MOTION
1788555637.78,0.001,0.078,2.314,MOTION
1788555637.89,0.013,0.078,2.314,MOTION
1788555638.00,0.003,0.077,2.314,MOTION
1788555638.08,0.003,0.077,2.314,MOTION
1788555638.20,0.001,0.077,2.314,MOTION
1788555638.28,0.003,0.076,2.314,MOTION
1788555638.40,0.001,0.076,2.314,MOTION
1788555638.48,0.000,0.071,2.314,MOTION
1788555638.58,0.001,0.070,2.314,MOTION
1788555638.69,0.000,0.069,2.314,MOTION
1788555638.81,0.001,0.068,2.314,MOTION
1788555638.89,0.001,0.068,2.314,MOTION
1788555639.02,0.036,0.068,2.314,MOTION
1788555639.07,0.001,0.067,2.314,MOTION
1788555639.19,0.000,0.067,2.314,MOTION
1788555639.30,0.000,0.067,2.314,MOTION
1788555639.38,0.000,0.067,2.314,MOTION
1788555639.50,0.001,0.066,2.314,MOTION
1788555639.59,0.001,0.066,2.314,MOTION
1788555639.68,0.000,0.066,2.314,MOTION
1788555639.79,0.001,0.065,2.314,MOTION
1788555639.88,0.000,0.065,2.314,MOTION
1788555639.98,0.027,0.065,2.314,MOTION
1788555640.10,0.000,0.065,2.314,MOTION
1788555640.18,0.000,0.065,2.314,MOTION
1788555640.30,0.390,0.067,2.314,MOTION
1788555640.39,0.008,0.067,2.314,MOTION
1788555640.51,0.000,0.067,2.314,MOTION
1788555640.59,0.001,0.067,2.314,MOTION
1788555640.67,0.003,0.067,2.314,MOTION
1788555640.79,0.001,0.066,2.314,MOTION
1788555640.88,0.016,0.067,2.314,MOTION
1788555640.98,0.002,0.066,2.314,MOTION
1788555641.09,0.002,0.066,2.314,MOTION
1788555641.20,0.004,0.066,2.314,MOTION
1788555641.31,0.001,0.066,2.314,MOTION
1788555641.39,0.001,0.066,2.314,MOTION
1788555641.49,0.040,0.067,2.314,MOTION
1788555641.58,0.006,0.067,2.314,MOTION
1788555641.70,0.003,0.067,2.314,MOTION
1788555641.78,0.016,0.067,2.314,MOTION
1788555641.89,0.000,0.067,2.314,MOTION
1788555642.00,0.072,0.067,2.314,MOTION
1788555642.08,0.000,0.067,2.314,MOTION
1788555642.19,0.003,0.067,2.314,MOTION
1788555642.29,1.753,0.076,2.314,MOTION
1788555642.38,1.982,0.085,2.314,MOTION
1788555642.50,1.074,0.091,2.314,MOTION
1788555642.59,0.100,0.091,2.314,MOTION
1788555642.68,0.006,0.091,2.314,MOTION
1788555642.79,0.016,0.091,2.314,MOTION
1788555642.89,0.061,0.092,2.314,MOTION
1788555642.98,0.028,0.092,2.314,MOTION
1788555643.08,0.013,0.092,2.314,MOTION
1788555643.19,0.012,0.092,2.314,MOTION
1788555643.29,0.049,0.092,2.314,MOTION
1788555643.40,0.006,0.092,2.314,MOTION
1788555643.49,0.007,0.092,2.314,MOTION
1788555643.59,0.075,0.093,2.314,MOTION
1788555643.68,0.017,0.093,2.314,MOTION
1788555643.80,0.007,0.093,2.314,MOTION
1788555643.87,0.006,0.093,2.314,MOTION
1788555643.97,0.027,0.093,2.314,MOTION
1788555644.10,0.009,0.093,2.314,MOTION
1788555644.22,0.002,0.093,2.314,MOTION
1788555644.29,0.004,0.081,1.982,STATIC
1788555644.38,0.005,0.079,1.982,STATIC
1788555644.49,0.001,0.078,1.982,STATIC
1788555644.59,0.001,0.078,1.982,STATIC
1788555644.71,0.001,0.078,1.982,STATIC
1788555644.81,0.001,0.078,1.982,STATIC
1788555644.91,0.033,0.078,1.982,STATIC
1788555644.99,0.002,0.078,1.982,STATIC
1788555645.10,0.003,0.078,1.982,STATIC
1788555645.21,0.003,0.078,1.982,STATIC
1788555645.27,0.001,0.078,1.982,STATIC
1788555645.40,0.003,0.078,1.982,STATIC
1788555645.50,0.000,0.078,1.982,STATIC
1788555645.57,0.001,0.078,1.982,STATIC
1788555645.70,0.001,0.078,1.982,STATIC
1788555645.77,0.003,0.078,1.982,STATIC
1788555645.89,0.003,0.078,1.982,STATIC
1788555645.99,0.031,0.078,1.982,STATIC
1788555646.09,0.001,0.078,1.982,STATIC
1788555646.20,0.001,0.078,1.982,STATIC
1788555646.30,0.001,0.078,1.982,STATIC
1788555646.38,0.002,0.078,1.982,STATIC
1788555646.49,0.001,0.078,1.982,STATIC
1788555646.59,0.001,0.078,1.982,STATIC
1788555646.68,0.002,0.078,1.982,STATIC
1788555646.79,0.001,0.078,1.982,STATIC
1788555646.88,0.032,0.078,1.982,STATIC
1788555646.98,0.000,0.078,1.982,STATIC
1788555647.11,0.001,0.078,1.982,STATIC
1788555647.21,0.000,0.078,1.982,STATIC
1788555647.27,0.001,0.078,1.982,STATIC
1788555647.38,0.000,0.078,1.982,STATIC
1788555647.49,0.000,0.078,1.982,STATIC
1788555647.58,0.000,0.078,1.982,STATIC
1788555647.70,0.000,0.078,1.982,STATIC
1788555647.79,0.001,0.078,1.982,STATIC
1788555647.90,0.001,0.077,1.982,STATIC
1788555647.97,0.011,0.077,1.982,STATIC
1788555648.08,0.002,0.077,1.982,STATIC
1788555648.19,0.000,0.077,1.982,STATIC
1788555648.28,1.776,0.086,1.982,STATIC
1788555648.40,0.960,0.091,1.982,STATIC
1788555648.48,0.498,0.094,1.982,STATIC
1788555648.60,0.011,0.093,1.982,STATIC
1788555648.69,0.026,0.093,1.982,STATIC
1788555648.80,0.011,0.093,1.982,STATIC
1788555648.90,0.043,0.094,1.982,STATIC
1788555648.98,0.008,0.094,1.982,STATIC
1788555649.08,0.009,0.094,1.982,STATIC
1788555649.17,0.004,0.094,1.982,STATIC
1788555649.29,0.004,0.094,1.982,STATIC
1788555649.42,0.004,0.094,1.982,STATIC
1788555649.49,0.004,0.094,1.982,STATIC
1788555649.60,0.000,0.094,1.982,STATIC
1788555649.67,0.002,0.094,1.982,STATIC
1788555649.80,0.001,0.092,1.982,STATIC
1788555649.88,0.003,0.085,1.982,STATIC
1788555649.99,0.026,0.085,1.982,STATIC
1788555650.10,0.001,0.084,1.982,STATIC
1788555650.17,0.004,0.078,1.982,STATIC
1788555650.27,0.002,0.068,1.982,STATIC
1788555650.38,0.003,0.068,1.982,STATIC
1788555650.48,0.001,0.068,1.982,STATIC
1788555650.60,0.000,0.068,1.982,STATIC
1788555650.71,0.000,0.068,1.982,STATIC
1788555650.78,0.000,0.068,1.982,STATIC
1788555650.90,0.011,0.068,1.982,STATIC
1788555650.98,0.000,0.067,1.982,STATIC
1788555651.07,0.001,0.067,1.982,STATIC
1788555651.20,0.001,0.067,1.982,STATIC
1788555651.29,0.001,0.067,1.982,STATIC
1788555651.38,0.002,0.067,1.982,STATIC
1788555651.47,0.001,0.067,1.982,STATIC
1788555651.58,0.000,0.067,1.982,STATIC
1788555651.69,0.000,0.067,1.982,STATIC
1788555651.78,0.000,0.067,1.982,STATIC
1788555651.88,0.000,0.067,1.982,STATIC
1788555652.00,0.048,0.067,1.982,STATIC
1788555652.08,0.196,0.068,1.982,STATIC
1788555652.20,0.055,0.068,1.982,STATIC
1788555652.28,0.036,0.068,1.982,STATIC
1788555652.39,0.000,0.068,1.982,STATIC
1788555652.48,0.002,0.068,1.982,STATIC
1788555652.60,0.000,0.068,1.982,STATIC
1788555652.68,0.000,0.068,1.982,STATIC
1788555652.80,0.000,0.068,1.982,STATIC
1788555652.90,0.001,0.068,1.982,STATIC
1788555652.99,0.026,0.068,1.982,STATIC
1788555653.11,0.001,0.068,1.982,STATIC
1788555653.21,0.000,0.068,1.982,STATIC
1788555653.31,0.135,0.069,1.982,STATIC
1788555653.40,0.246,0.070,1.982,STATIC
1788555653.50,0.037,0.070,1.982,STATIC
1788555653.58,0.001,0.070,1.982,STATIC
1788555653.68,0.151,0.071,1.982,STATIC
1788555653.78,0.033,0.071,1.982,STATIC
1788555653.87,0.029,0.071,1.982,STATIC
1788555653.99,0.001,0.071,1.982,STATIC
1788555654.10,0.004,0.071,1.982,STATIC
1788555654.19,0.068,0.071,1.982,STATIC
1788555654.30,1.777,0.080,1.982,STATIC
1788555654.38,0.037,0.080,1.982,STATIC
1788555654.47,0.019,0.080,1.982,STATIC
1788555654.60,0.001,0.080,1.982,STATIC
1788555654.68,0.001,0.080,1.982,STATIC
1788555654.80,0.001,0.080,1.982,STATIC
1788555654.89,0.002,0.080,1.982,STATIC
1788555654.97,0.019,0.080,1.982,STATIC
1788555655.07,0.007,0.081,1.982,STATIC
1788555655.19,0.003,0.081,1.982,STATIC
1788555655.28,0.005,0.081,1.982,STATIC
1788555655.39,0.003,0.081,1.982,STATIC
1788555655.49,0.006,0.081,1.982,STATIC
1788555655.58,0.001,0.081,1.982,STATIC
1788555655.67,0.004,0.081,1.982,STATIC
1788555655.78,0.002,0.081,1.982,STATIC
1788555655.90,0.029,0.081,1.982,STATIC
1788555655.97,0.003,0.081,1.982,STATIC
1788555656.10,0.001,0.081,1.982,STATIC
1788555656.19,0.001,0.081,1.982,STATIC
1788555656.29,0.001,0.072,1.982,STATIC
1788555656.40,0.003,0.067,1.982,STATIC
1788555656.50,0.002,0.066,1.982,STATIC
1788555656.59,0.000,0.064,1.982,STATIC
1788555656.69,0.002,0.063,1.982,STATIC
1788555656.81,0.001,0.063,1.982,STATIC
1788555656.90,0.001,0.063,1.982,STATIC
1788555656.98,0.033,0.063,1.982,STATIC
1788555657.10,0.000,0.063,1.982,STATIC
1788555657.20,0.001,0.063,1.982,STATIC
1788555657.29,0.000,0.063,1.982,STATIC
1788555657.39,0.059,0.063,1.982,STATIC
1788555658.11,0.004,0.063,1.982,STATIC
1788555658.12,0.000,0.063,1.982,STATIC
1788555658.13,0.001,0.063,1.982,STATIC
1788555658.14,0.000,0.063,1.982,STATIC
1788555658.15,0.014,0.063,1.982,STATIC
