file,meanYDIF,maxYDIF
2026-08-16_01-07-33.mp4,3.223,13.469
2026-08-21_16-50-18.mp4,0.822,3.073
2026-07-30_05-57-27.mp4,0.13,0.391
2026-08-21_02-52-34.mp4,2.26,6.907
2026-08-30_21-21-41.mp4,1.163,3.871
2026-08-19_15-46-52.mp4,0.568,5.489
2026-08-13_21-31-36.mp4,1.776,21.51
2026-08-14_10-50-13.mp4,1.84,6.418
2026-08-30_06-23-24.mp4,0.142,2.841
2026-08-03_08-58-20.mp4,1.802,4.604
2026-08-22_05-51-55.mp4,1.283,3.569
2026-08-28_07-35-27.mp4,1.028,32.645
2026-08-18_23-01-02.mp4,0.874,3.105
2026-07-31_14-33-30.mp4,0.139,2.429
2026-08-08_00-41-00.mp4,0.177,6.818
2026-08-03_09-30-43.mp4,0.839,3.146
2026-07-31_22-04-19.mp4,0.292,2.047
2026-09-01_09-43-04.mp4,2.831,6.233
2026-08-19_12-45-41.mp4,0.164,3.556
2026-08-05_19-42-23.mp4,2.07,5.586
