file,present_frac,move_mean,move_frac,move_curve,wrist_vis_frac,hands_up_frac
2026-06-30_14-23-25.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_03-04-31.mp4,0.0,0.0036,0.0,"[0.0043, 0.003, 0.0024, 0.0061, 0.0021, 0.0021, 0.0049, 0.0045]",0.0,0.0
2026-07-15_23-41-39.mp4,0.0,0.0068,0.0,"[0.005, 0.0035, 0.0102, 0.0156]",0.0,0.0
2026-07-19_18-28-09.mp4,0.0,0.0239,0.125,"[0.0245, 0.0252, 0.0248, 0.0221, 0.0217, 0.0265, 0.0143, 0.0346]",0.0,0.0
2026-07-10_21-30-19.mp4,0.0,0.0191,0.25,"[0.0235, 0.0099, 0.0223, 0.0433, 0.0303, 0.0054, 0.0085, 0.0072]",0.0,0.0
2026-07-25_17-54-47.mp4,0.0,0.0024,0.0,"[0.0054, 0.0008, 0.0024, 0.0041, 0.0016, 0.0054, 0.0, 0.0]",0.0,0.0
2026-07-24_16-42-03.mp4,0.0,nan,,[],0.0,0.0
2026-07-18_11-48-16.mp4,0.0,nan,,[],0.0,0.0
2026-07-13_08-27-21.mp4,0.0,nan,,[],0.0,0.0
2026-07-01_06-20-02.mp4,0.0,0.0093,0.125,"[0.0345, 0.0083, 0.0031, 0.0176, 0.0042, 0.0018, 0.0006, 0.0035]",0.0,0.0
2026-07-26_01-44-36.mp4,0.0,nan,,[],0.0,0.0
2026-07-01_07-17-29.mp4,0.0,0.0115,0.125,"[0.0114, 0.0035, 0.0121, 0.0492, 0.0039, 0.0046, 0.0039, 0.0012]",0.0,0.0
2026-07-01_06-14-14.mp4,0.0,0.0063,0.0,"[0.0215, 0.0076, 0.0032, 0.0064, 0.003, 0.0027, 0.0028, 0.0027]",0.0,0.0
2026-07-09_14-23-12.mp4,0.0,nan,,[],0.0,0.0
2026-07-01_00-55-05.mp4,0.0,0.0103,0.0,"[0.0292, 0.0075, 0.0067, 0.0179, 0.001, 0.0068, 0.0063, 0.0064]",0.0,0.0
2026-07-06_04-23-51.mp4,0.0,0.0155,0.167,"[0.0717, 0.0294, 0.0048, 0.0049, 0.0079, 0.0235]",0.0,0.0
2026-07-08_00-08-29.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_10-48-02.mp4,0.0,nan,,[],0.0,0.0
