file,owl_max,owl_query,mouth_surge,face_frac,audio_gag,spit_score,pseudo_label,error
2026-07-18_03-15-51.mp4,0.044492319226264954,milk on baby face,0.0,0.0,0.0002,0.089,0,
2026-07-21_23-59-05.mp4,0.03188379481434822,spit up milk,0.0,0.0,0.0014,0.064,0,
2026-07-07_20-52-18.mp4,0.03242194652557373,milk on baby face,0.0,0.0,0.0082,0.0665,0,
2026-07-11_10-46-16.mp4,0.019372817128896713,spit up milk,0.0,0.667,0.0004,0.0388,0,
2026-07-02_18-28-08.mp4,0.028802528977394104,spit up milk,0.0,0.333,0.0004,0.0577,0,
2026-07-04_15-25-25.mp4,0.02952600084245205,spit up milk,0.0,0.0,0.0009,0.0592,0,
2026-07-06_11-18-17.mp4,0.04532577842473984,milk on baby face,0.0,0.0,0.0003,0.0907,0,
2026-07-13_10-44-07.mp4,0.03354542702436447,milk on baby face,0.0,0.667,0.0015,0.0674,0,
2026-07-15_18-43-49.mp4,0.041451942175626755,milk on baby face,0.0,1.0,0.0004,0.083,0,
2026-07-03_20-05-24.mp4,0.004132923670113087,spit up milk,0.0,0.0,0.001,0.0085,0,
2026-07-02_14-21-40.mp4,0.03573037311434746,milk on baby face,0.0,0.0,0.0004,0.0715,0,
2026-07-24_09-05-02.mp4,0.02956365793943405,spit up milk,0.0,0.0,0.0098,0.0611,0,
2026-07-04_11-27-03.mp4,0.03153524547815323,spit up milk,0.0,0.0,0.0341,0.0699,0,
2026-07-03_21-39-11.mp4,0.006852189544588327,spit up milk,0.0,0.0,0.0005,0.0138,0,
2026-07-09_07-36-17.mp4,0.01721162348985672,spit up milk,0.0,1.0,0.0003,0.0345,0,
2026-07-08_07-36-22.mp4,0.027587225660681725,milk on baby face,0.0,0.0,0.0004,0.0553,0,
2026-07-11_10-58-46.mp4,0.02997356839478016,spit up milk,0.0,0.0,0.0005,0.06,0,
2026-07-14_14-57-37.mp4,0.03432748094201088,milk on baby face,0.0,0.0,0.0007,0.0688,0,
2026-07-06_18-30-24.mp4,0.0808200016617775,milk on baby face,0.0,0.0,0.0018,0.162,0,
2026-07-04_08-43-52.mp4,0.033201757818460464,spit up milk,0.0,0.0,0.0006,0.0665,0,
2026-07-01_13-47-17.mp4,0.03556307777762413,spit up milk,0.0,0.0,0.0003,0.0712,0,
2026-07-04_14-38-54.mp4,0.009215528145432472,spit up milk,0.0,0.0,0.0011,0.0187,0,
2026-07-05_11-14-39.mp4,0.028661144897341728,spit up milk,0.0,0.0,0.0057,0.0585,0,
2026-07-21_14-07-06.mp4,0.008852457627654076,milk on baby face,0.0,0.0,0.0004,0.0178,0,
2026-07-02_18-39-38.mp4,0.024100758135318756,spit up milk,0.0,1.0,0.0024,0.0487,0,
2026-07-08_19-30-32.mp4,0.025814758613705635,spit up milk,0.0,0.167,0.0004,0.0517,0,
2026-07-21_15-21-23.mp4,0.04773923382163048,spit up milk,0.0,0.0,0.0007,0.0956,0,
2026-07-14_13-43-38.mp4,0.03600401431322098,milk on baby face,0.0,0.0,0.001,0.0722,0,
2026-07-04_11-24-27.mp4,0.02496122196316719,spit up milk,0.0,0.0,0.0026,0.0504,0,
2026-07-08_00-02-05.mp4,0.11713150888681412,spit up milk,0.0,0.0,0.0023,0.2347,0,
2026-07-15_13-47-22.mp4,0.04169921576976776,spit up milk,0.0,0.0,0.0006,0.0835,0,
2026-07-09_14-16-30.mp4,0.015689954161643982,spit up milk,0.0,0.0,0.0004,0.0315,0,
2026-07-03_23-37-58.mp4,0.027484681457281113,spit up milk,0.0,0.0,0.0002,0.055,0,
2026-07-26_04-03-05.mp4,0.038578275591135025,milk on baby face,0.0,0.0,0.0005,0.0773,0,
2026-07-09_16-29-05.mp4,0.010736104100942612,spit up milk,0.0,0.0,0.0021,0.0219,0,
