file,day,split,mean_ydif,max_ydif,moving_pct,sound_sec,sound_frac,sound_iv,weak_D2_moving,weak_D8_sound
2026-06-30_07-55-21.mp4,2026-06-30,train,3.5613,68.3885,0.4538,0,0.0,[],1,0
2026-06-30_07-55-33.mp4,2026-06-30,train,0.5705,7.8409,0.1092,0,0.0,[],1,0
2026-06-30_08-31-33.mp4,2026-06-30,train,0.095,2.7072,0.0252,0,0.0,[],0,0
2026-06-30_08-31-45.mp4,2026-06-30,train,4.9243,60.8264,0.6723,0.4,0.05,"[[5.0, 5.4]]",1,1
2026-06-30_08-31-57.mp4,2026-06-30,train,2.7481,9.8478,0.9244,0.2,0.025,"[[3.8, 4.0]]",1,
2026-06-30_08-32-09.mp4,2026-06-30,train,1.9661,14.3258,0.5042,0.6,0.075,"[[0.0, 0.2], [6.6, 6.8], [7.0, 7.2]]",1,1
2026-06-30_08-32-21.mp4,2026-06-30,train,1.1222,4.3032,0.4706,0,0.0,[],1,0
2026-06-30_08-32-33.mp4,2026-06-30,train,0.2051,1.5768,0.0168,0,0.0,[],,0
2026-06-30_08-43-10.mp4,2026-06-30,train,2.3598,40.7057,0.2185,0.2,0.025,"[[7.8, 8.0]]",1,
2026-06-30_08-43-22.mp4,2026-06-30,train,1.9945,52.1818,0.1345,0.8,0.1,"[[0.2, 1.0]]",1,1
2026-06-30_09-36-57.mp4,2026-06-30,train,0.2753,1.6611,0.042,0.2,0.025,"[[1.6, 1.8]]",,
2026-06-30_09-40-09.mp4,2026-06-30,train,0.1786,1.1262,0.0084,1.0,0.125,"[[4.6, 4.8], [5.0, 5.8]]",,1
2026-06-30_09-40-21.mp4,2026-06-30,train,0.4276,1.6427,0.042,0.4,0.05,"[[0.4, 0.8]]",,1
2026-06-30_09-40-33.mp4,2026-06-30,train,0.3937,4.9756,0.0672,4.0,0.5,"[[1.4, 1.6], [2.2, 3.0], [3.2, 3.4], [4.6, 5.4], [5.6, 7.0], [7.2, 7.4], [7.6, 8.0]]",,1
2026-06-30_09-40-45.mp4,2026-06-30,train,1.72,15.929,0.4874,2.6,0.325,"[[2.4, 2.8], [3.0, 3.2], [3.8, 4.0], [4.2, 4.4], [4.6, 4.8], [5.6, 6.8], [7.6, 7.8]]",1,1
2026-06-30_09-54-33.mp4,2026-06-30,train,2.3665,24.0547,0.5462,0.6,0.075,"[[2.2, 2.6], [4.6, 4.8]]",1,1
2026-06-30_09-54-45.mp4,2026-06-30,train,2.8515,10.2526,0.8571,0,0.0,[],1,0
2026-06-30_09-54-57.mp4,2026-06-30,train,1.5729,5.3769,0.6387,1.0,0.125,"[[0.6, 0.8], [2.6, 2.8], [4.6, 4.8], [5.6, 5.8], [7.0, 7.2]]",1,1
2026-06-30_09-55-09.mp4,2026-06-30,train,2.2247,16.2598,0.3445,4.2,0.525,"[[0.2, 0.4], [2.0, 3.4], [4.0, 6.4], [7.2, 7.4]]",1,1
2026-06-30_12-45-31.mp4,2026-06-30,train,5.6253,79.0696,0.5714,2.2,0.275,"[[4.0, 4.6], [5.2, 5.8], [6.4, 6.6], [6.8, 7.4], [7.8, 8.0]]",1,1
2026-06-30_12-45-43.mp4,2026-06-30,train,4.3766,29.5201,0.6891,3.0,0.375,"[[1.2, 1.4], [1.8, 2.0], [2.8, 3.0], [3.4, 4.4], [5.6, 5.8], [6.0, 6.8], [7.2, 7.6]]",1,1
2026-06-30_12-45-55.mp4,2026-06-30,train,16.7294,77.76,0.8908,1.2,0.15,"[[3.8, 4.0], [5.0, 5.4], [6.2, 6.4], [7.6, 8.0]]",1,1
2026-06-30_12-46-07.mp4,2026-06-30,train,3.2364,29.3243,0.3697,0.8,0.1,"[[0.0, 0.6], [0.8, 1.0]]",1,1
2026-06-30_12-46-19.mp4,2026-06-30,train,2.0533,45.9522,0.3025,1.0,0.125,"[[0.6, 0.8], [3.0, 3.6], [4.4, 4.6]]",1,1
2026-06-30_13-02-19.mp4,2026-06-30,train,3.8608,29.2781,0.5798,0.8,0.1,"[[1.0, 1.2], [4.8, 5.2], [6.2, 6.4]]",1,1
2026-06-30_13-02-31.mp4,2026-06-30,train,0.293,2.3356,0.0168,1.0,0.125,"[[6.6, 7.6]]",,1
2026-06-30_13-03-07.mp4,2026-06-30,train,1.2474,6.7433,0.4706,1.2,0.15,"[[0.0, 0.2], [1.8, 2.2], [6.2, 6.8]]",1,1
2026-06-30_13-03-19.mp4,2026-06-30,train,0.4168,2.1037,0.1345,0,0.0,[],,0
2026-06-30_13-03-31.mp4,2026-06-30,train,0.1918,1.2501,0.0084,0,0.0,[],,0
2026-06-30_13-05-55.mp4,2026-06-30,train,0.2295,1.2358,0.0084,0.8,0.1,"[[3.2, 3.4], [4.8, 5.2], [5.4, 5.6]]",,1
2026-06-30_13-06-31.mp4,2026-06-30,train,0.1336,1.3747,0.0084,0.2,0.025,"[[0.8, 1.0]]",0,
2026-06-30_13-06-43.mp4,2026-06-30,train,0.1794,1.1923,0.0084,0.6,0.075,"[[6.8, 7.4]]",,1
2026-06-30_13-06-55.mp4,2026-06-30,train,0.2322,1.2608,0.0252,0.6,0.075,"[[0.0, 0.2], [0.4, 0.6], [0.8, 1.0]]",,1
2026-06-30_13-07-19.mp4,2026-06-30,train,0.1311,1.3244,0.0084,0,0.0,[],0,0
2026-06-30_13-07-31.mp4,2026-06-30,train,0.2008,1.3836,0.0336,0.4,0.05,"[[3.4, 3.6], [5.2, 5.4]]",,1
2026-06-30_13-07-43.mp4,2026-06-30,train,0.1234,1.3971,0.0084,0,0.0,[],0,0
2026-06-30_13-08-07.mp4,2026-06-30,train,0.1244,1.2291,0.0084,0,0.0,[],0,0
2026-06-30_13-08-31.mp4,2026-06-30,train,0.3264,5.7477,0.0672,0.4,0.05,"[[1.0, 1.2], [2.8, 3.0]]",,1
2026-06-30_13-08-55.mp4,2026-06-30,train,0.1264,1.0557,0.0084,0.4,0.05,"[[0.4, 0.6], [4.4, 4.6]]",0,
2026-06-30_13-10-07.mp4,2026-06-30,train,0.1557,7.2754,0.0252,0.2,0.025,"[[5.4, 5.6]]",,
2026-06-30_13-12-31.mp4,2026-06-30,train,1.526,13.9271,0.3445,1.0,0.125,"[[3.4, 4.2], [4.4, 4.6]]",1,1
2026-06-30_13-12-43.mp4,2026-06-30,train,1.8306,23.6917,0.2773,0.2,0.025,"[[6.2, 6.4]]",1,
2026-06-30_13-12-55.mp4,2026-06-30,train,0.7473,6.2413,0.1429,0.4,0.05,"[[1.0, 1.2], [2.4, 2.6]]",1,1
2026-06-30_13-13-07.mp4,2026-06-30,train,1.3665,9.8826,0.4118,1.2,0.15,"[[0.2, 0.4], [1.2, 1.4], [2.0, 2.2], [5.2, 5.8]]",1,1
2026-06-30_13-14-07.mp4,2026-06-30,train,0.0583,2.5967,0.0252,0,0.0,[],0,0
2026-06-30_13-14-43.mp4,2026-06-30,train,0.4788,4.3698,0.1429,0,0.0,[],,0
2026-06-30_13-14-55.mp4,2026-06-30,train,0.242,4.0301,0.042,0,0.0,[],,0
2026-06-30_13-45-43.mp4,2026-06-30,train,0.0557,2.0913,0.0252,0,0.0,[],0,0
2026-06-30_13-59-19.mp4,2026-06-30,train,2.3288,85.9089,0.25,1.6,0.2,"[[1.6, 1.8], [2.6, 2.8], [4.6, 5.2], [5.8, 6.2], [6.6, 6.8]]",1,1
2026-06-30_14-07-55.mp4,2026-06-30,train,0.221,2.612,0.0504,1.2,0.15,"[[3.0, 3.4], [4.8, 5.2], [7.4, 7.8]]",,1
2026-06-30_14-12-43.mp4,2026-06-30,train,0.1309,2.3194,0.0508,0,0.0,[],0,0
2026-06-30_14-23-25.mp4,2026-06-30,train,0.0386,2.0697,0.0084,1.2,0.15,"[[0.0, 0.8], [1.0, 1.2], [5.4, 5.6]]",0,1
2026-06-30_14-24-25.mp4,2026-06-30,train,2.7362,50.9061,0.4538,2.8,0.35,"[[0.8, 2.4], [2.8, 3.4], [5.8, 6.2], [7.2, 7.4]]",1,1
2026-06-30_14-24-35.mp4,2026-06-30,train,1.0516,5.9473,0.3083,3.6,0.45,"[[3.6, 4.2], [4.4, 5.4], [5.6, 7.2], [7.6, 8.0]]",1,1
2026-06-30_14-53-02.mp4,2026-06-30,train,1.6268,112.415,0.0917,0.2,0.025,"[[3.6, 3.8]]",1,
2026-06-30_14-53-15.mp4,2026-06-30,train,3.7561,12.5133,0.8739,0.8,0.1,"[[0.4, 0.8], [2.4, 2.6], [2.8, 3.0]]",1,1
2026-06-30_14-53-27.mp4,2026-06-30,train,2.6065,14.2297,0.4202,0,0.0,[],1,0
2026-06-30_15-20-39.mp4,2026-06-30,train,2.3597,15.6074,0.5378,4.2,0.525,"[[0.6, 0.8], [1.0, 1.2], [1.4, 3.0], [3.2, 3.8], [5.0, 5.6], [5.8, 6.2], [7.4, 8.0]]",1,1
2026-06-30_15-20-51.mp4,2026-06-30,train,1.8296,17.0141,0.2857,2.6,0.325,"[[0.0, 1.8], [2.4, 3.2]]",1,1
2026-06-30_15-21-15.mp4,2026-06-30,train,1.1253,73.3965,0.1008,2.6,0.325,"[[0.0, 0.8], [1.8, 2.0], [3.2, 3.6], [5.0, 5.2], [6.0, 6.2], [6.4, 6.6], [6.8, 7.2], [7.6, 7.8]]",1,1
2026-06-30_15-21-27.mp4,2026-06-30,train,1.3728,35.741,0.3167,1.2,0.15,"[[0.0, 0.2], [0.4, 0.6], [1.4, 1.6], [4.8, 5.2], [5.6, 5.8]]",1,1
2026-06-30_15-21-37.mp4,2026-06-30,train,0.5386,4.361,0.125,3.4,0.425,"[[0.2, 0.4], [3.6, 3.8], [5.0, 8.0]]",1,1
