file,present_frac,move_mean,move_frac,move_curve,wrist_vis_frac,hands_up_frac
2026-06-30_14-23-25.mp4,0.0,0.0023,0.0,"[0.0, 0.0, 0.0034, 0.0034, 0.0085]",0.0,0.0
2026-07-19_03-04-31.mp4,0.0,0.001,0.0,"[0.0023, 0.0005, 0.0007, 0.0013, 0.001, 0.0002, 0.0007, 0.0009]",0.0,0.0
2026-07-15_23-41-39.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_18-28-09.mp4,0.0,0.0026,0.0,"[0.0046, 0.0018, 0.0015, 0.0027, 0.0024, 0.0039, 0.0, 0.0045]",0.0,0.0
2026-07-10_21-30-19.mp4,0.0,0.018,0.125,"[0.0218, 0.0063, 0.0053, 0.0522, 0.0257, 0.0048, 0.0081, 0.0206]",0.0,0.0
2026-07-25_17-54-47.mp4,0.0,nan,,[],0.0,0.0
2026-07-24_16-42-03.mp4,0.0,0.0103,0.125,"[0.0347, 0.0, 0.0126, 0.0235, 0.0049, 0.0017, 0.0016, 0.0021]",0.0,0.0
2026-07-18_11-48-16.mp4,0.0,nan,,[],0.0,0.0
2026-07-13_08-27-21.mp4,0.0,0.0063,0.0,"[0.013, 0.0111, 0.0072, 0.0085, 0.0066, 0.0018, 0.0, 0.0011]",0.0,0.0
2026-07-01_06-20-02.mp4,0.0,0.0092,0.0,"[0.0196, 0.0114, 0.0016, 0.0121, 0.0086, 0.01, 0.0033, 0.0064]",0.0,0.0
2026-07-26_01-44-36.mp4,0.0,0.0176,0.0,"[0.0229, 0.0108]",0.0,0.0
2026-07-01_07-17-29.mp4,0.0,0.0038,0.0,"[0.0013, 0.0003, 0.0038, 0.0133, 0.0041, 0.0029, 0.0035, 0.0007]",0.0,0.0
2026-07-01_06-14-14.mp4,0.0,0.0057,0.0,"[0.0164, 0.0059, 0.0042, 0.0019, 0.0052, 0.0007, 0.0066, 0.004]",0.0,0.0
2026-07-09_14-23-12.mp4,0.0,0.0026,0.0,"[0.0061, 0.0015, 0.0015, 0.0036, 0.0046, 0.0, 0.0031, 0.0019]",0.0,0.0
2026-07-01_00-55-05.mp4,0.0,0.0045,0.0,"[0.01, 0.0052, 0.0009, 0.009, 0.003, 0.0033, 0.0021, 0.0022]",0.0,0.0
2026-07-06_04-23-51.mp4,0.0,0.0062,0.0,"[0.0065, 0.0056, 0.0073, 0.0047, 0.0089, 0.0041, 0.0071, 0.0056]",0.0,0.0
2026-07-08_00-08-29.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_10-48-02.mp4,0.0,0.003,0.0,"[0.0042, 0.002, 0.0, 0.0034, 0.0038, 0.0051, 0.0034, 0.0022]",0.0,0.0
2026-07-07_18-16-02.mp4,0.0,0.003,0.0,"[0.0045, 0.0024, 0.0024, 0.0021, 0.0053, 0.0025, 0.002, 0.0028]",0.0,0.0
2026-07-18_21-43-58.mp4,0.0,0.0007,0.0,"[0.0023, 0.0004, 0.0004, 0.0011, 0.0007, 0.0005, 0.0, 0.0]",0.0,0.0
2026-07-07_07-34-37.mp4,0.0,nan,,[],0.0,0.0
2026-07-15_07-37-08.mp4,0.0,0.005,0.0,"[0.0143, 0.0017, 0.0047, 0.0062, 0.0033, 0.0022, 0.004, 0.0028]",0.0,0.0
2026-07-13_20-53-12.mp4,0.35,0.0145,0.0,"[0.0277, 0.0098, 0.0084, 0.0153, 0.0062, 0.0075, 0.0229, 0.0189]",0.0,0.0
2026-07-22_21-25-48.mp4,0.0,nan,,[],0.0,0.0
2026-07-11_17-27-24.mp4,0.0,0.0205,0.375,"[0.0305, 0.0319, 0.0158, 0.0343, 0.0074, 0.0057, 0.0233, 0.0138]",0.0,0.0
